Field,size2012,Subdomain
Agricultural sciences,1144,Agricultural sciences
Biological sciences,7817,Biological sciences
Computer sciences,1690,Computer sciences
Atmospheric sciences,125,Earth/Atmospheric/Ocean sciences
Earth sciences,497,Earth/Atmospheric/Ocean sciences
Ocean sciences,115,Earth/Atmospheric/Ocean sciences
Mathematics and statistics,1670,Mathematics and statistics
Astronomy,170,Physical sciences
Chemistry,2630,Physical sciences
Physics,1752,Physical sciences
Psychology,3868,Psychology
Anthropology,585,Social sciences
Area and ethnic studies,274,Social sciences
Economics,1271,Social sciences
History of science,24,Social sciences
Linguistics,249,Social sciences
Political science and public administration,1402,Social sciences
Sociology,635,Social sciences